epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2564,0.93319,2.71004,1.16421,0.01095,0.93243,0.28872,0.19121,0.59847,2.73481,0.96994,2e-05,2e-05,2e-05
2,33.1444,1.01752,2.62176,1.22101,0.01159,0.98649,0.45575,0.3291,0.61376,2.7218,0.96246,5.8812e-05,5.8812e-05,5.8812e-05
3,45.0884,0.8849,2.54981,1.07554,0.01175,1,0.64202,0.4378,0.6994,2.71256,0.9742,9.604e-05,9.604e-05,9.604e-05
4,57.0439,0.82323,2.29132,1.1317,0.01159,0.98649,0.66275,0.42715,0.79095,2.713,1.01255,0.000131684,0.000131684,0.000131684
5,68.8853,0.83588,1.78644,1.10436,0.01175,1,0.63876,0.41401,0.80969,2.64878,1.03108,0.000165744,0.000165744,0.000165744
6,80.937,1.00816,1.77925,1.14625,0.01175,1,0.65231,0.47153,0.68964,2.48859,0.98204,0.00019822,0.00019822,0.00019822
7,92.9054,0.82505,1.65567,1.14261,0.95999,0.32426,0.70806,0.553,0.63674,2.32569,0.95403,0.000229112,0.000229112,0.000229112
8,104.94,0.82737,1.13787,0.99595,0.96743,0.40154,0.73919,0.58256,0.63012,2.20957,0.94123,0.00025842,0.00025842,0.00025842
9,116.876,0.83108,1.15996,1.04137,0.97219,0.47238,0.75801,0.61117,0.62264,2.17722,0.92903,0.000286144,0.000286144,0.000286144
10,129.095,0.75603,1.26515,1.05392,1,0.54149,0.76705,0.63497,0.59361,2.13804,0.91512,0.000312284,0.000312284,0.000312284
11,143.442,0.83767,1.20562,1.08322,0.98441,0.55405,0.76738,0.63312,0.58308,2.10405,0.90902,0.00033684,0.00033684,0.00033684
12,155.503,0.79011,1.11485,1.0933,1,0.54555,0.75053,0.63041,0.60208,2.10036,0.9212,0.000359812,0.000359812,0.000359812
13,167.483,0.68841,1.04958,1.01483,1,0.51434,0.72741,0.61683,0.6111,2.13232,0.93821,0.0003812,0.0003812,0.0003812
14,179.626,0.74125,0.99076,1.0424,0.87715,0.4825,0.65696,0.55367,0.60826,2.18467,0.94235,0.000401004,0.000401004,0.000401004
15,191.333,0.74346,1.09691,1.06154,0.7819,0.47297,0.59732,0.49609,0.63288,2.23989,0.96112,0.000419224,0.000419224,0.000419224
16,203.209,0.7252,1.04851,1.01811,0.77825,0.4743,0.55745,0.44679,0.69647,2.23419,0.99627,0.00043586,0.00043586,0.00043586
17,215.1,0.78615,1.0849,1.06403,0.88952,0.54409,0.68435,0.55708,0.71817,2.12996,0.98835,0.000450912,0.000450912,0.000450912
18,227.043,0.85559,1.12377,1.01213,0.89695,0.60811,0.74756,0.61919,0.69904,1.96164,0.96666,0.00046438,0.00046438,0.00046438
19,238.924,0.707,0.88132,0.99197,0.9374,0.60714,0.78253,0.6483,0.69562,1.80478,0.96935,0.000476264,0.000476264,0.000476264
20,250.798,0.75643,0.95273,0.97063,0.96041,0.65563,0.8241,0.70076,0.64383,1.67991,0.94677,0.000486564,0.000486564,0.000486564
21,262.711,0.67431,1.17183,1.0263,0.9625,0.67568,0.86259,0.72059,0.6432,1.67049,0.94401,0.00049528,0.00049528,0.00049528
22,274.555,0.78951,1.09589,1.03703,0.94348,0.68919,0.85486,0.71836,0.63669,1.6787,0.94278,0.000502412,0.000502412,0.000502412
23,286.516,0.72636,1.08137,1.03457,0.99272,0.63514,0.8428,0.73072,0.60917,1.7291,0.92423,0.00050796,0.00050796,0.00050796
24,298.441,0.55784,0.88059,0.96029,0.9805,0.63514,0.81357,0.70071,0.60785,1.81857,0.92308,0.000511924,0.000511924,0.000511924
25,310.523,0.64142,0.97774,0.9912,0.97956,0.64748,0.80845,0.68942,0.61767,1.80502,0.92056,0.000514304,0.000514304,0.000514304
26,322.355,0.57372,0.89697,0.93815,0.94587,0.63514,0.8293,0.69367,0.63022,1.72074,0.92595,0.0005151,0.0005151,0.0005151
27,334.143,0.68705,0.92586,1.00473,0.94124,0.6494,0.85681,0.71346,0.6026,1.65306,0.9293,0.000514312,0.000514312,0.000514312
28,345.903,0.73159,1.00157,1.09841,0.94124,0.6494,0.85681,0.71346,0.6026,1.65306,0.9293,0.00051194,0.00051194,0.00051194
29,357.917,0.71001,1.00403,1.05582,0.93144,0.73444,0.87736,0.72441,0.58656,1.61406,0.93328,0.000507984,0.000507984,0.000507984
30,369.906,0.63226,0.97546,1.02347,0.95072,0.78215,0.89554,0.74146,0.5913,1.6252,0.9318,0.000502444,0.000502444,0.000502444
31,381.706,0.65264,0.90774,0.97523,0.95072,0.78215,0.89554,0.74146,0.5913,1.6252,0.9318,0.00049532,0.00049532,0.00049532
32,393.534,0.66922,0.95646,1.06831,0.93646,0.79669,0.91214,0.77245,0.57785,1.60861,0.9235,0.000486612,0.000486612,0.000486612
