epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.216,0,72.5143,0,0,0,0,0,0,24.8847,0,0,0,0
2,15.3151,0,72.5567,0,0,0,0,0,0,24.8866,0,1.089e-05,1.089e-05,1.089e-05
3,19.3223,0,72.4281,0,0,0,0,0,0,24.8894,0,2.13401e-05,2.13401e-05,2.13401e-05
4,23.3327,0,72.314,0,0,0,0,0,0,24.892,0,3.13502e-05,3.13502e-05,3.13502e-05
5,27.3593,0,71.9605,0,0,0,0,0,0,24.8944,0,4.09204e-05,4.09204e-05,4.09204e-05
6,31.3517,0,71.7765,0,0,0,0,0,0,24.8967,0,5.00506e-05,5.00506e-05,5.00506e-05
7,35.3877,0,71.3808,0,0,0,0,0,0,24.8984,0,5.87408e-05,5.87408e-05,5.87408e-05
8,39.4497,0,71.0559,0,0,0,0,0,0,24.8988,0,6.69911e-05,6.69911e-05,6.69911e-05
9,43.4509,0,70.7741,0,0,0,0,0,0,24.8968,0,7.48014e-05,7.48014e-05,7.48014e-05
10,47.502,0,70.5524,0,0,0,0,0,0,24.8913,0,8.21718e-05,8.21718e-05,8.21718e-05
11,51.4883,0,70.1885,0,0,0,0,0,0,24.8832,0,8.91022e-05,8.91022e-05,8.91022e-05
12,55.5161,0,69.8186,0,0,0,0,0,0,24.8717,0,9.55927e-05,9.55927e-05,9.55927e-05
13,59.4883,0,69.4688,0,0,0,0,0,0,24.8577,0,0.000101643,0.000101643,0.000101643
14,63.5945,0,69.2675,0,0,0,0,0,0,24.8418,0,0.000107254,0.000107254,0.000107254
15,67.5885,0,69.0578,0,0,0,0,0,0,24.8207,0,0.000112424,0.000112424,0.000112424
16,71.5959,0,68.4567,0,0,0,0,0,0,24.794,0,0.000117155,0.000117155,0.000117155
17,75.6685,0,68.0331,0,0,0,0,0,0,24.7658,0,0.000121446,0.000121446,0.000121446
18,79.6123,0,67.5024,0,0,0,0,0,0,24.7658,0,0.000125296,0.000125296,0.000125296
19,83.5766,0,67.9724,0,0,0,0,0,0,24.7408,0,0.000128707,0.000128707,0.000128707
20,87.4872,0,66.9093,0,0,0,0,0,0,24.7408,0,0.000131678,0.000131678,0.000131678
21,91.5258,0,67.166,0,0,0,0,0,0,24.7088,0,0.000134209,0.000134209,0.000134209
22,95.4814,0,66.4578,0,0,0,0,0,0,24.7088,0,0.0001363,0.0001363,0.0001363
23,99.497,0,66.9868,0,0,0,0,0,0,24.6785,0,0.000137951,0.000137951,0.000137951
24,103.414,0,65.7876,0,0,0,0,0,0,24.6785,0,0.000139162,0.000139162,0.000139162
25,107.418,0,65.9298,0,0,0,0,0,0,24.6529,0,0.000139933,0.000139933,0.000139933
26,111.391,0,65.3957,0,0,0,0,0,0,24.6529,0,0.000140264,0.000140264,0.000140264
27,115.416,0,65.2394,0,0,0,0,0,0,24.6305,0,0.000140155,0.000140155,0.000140155
28,119.352,0,64.5094,0,0,0,0,0,0,24.6305,0,0.000139606,0.000139606,0.000139606
29,123.38,0,64.7116,0,0,0,0,0,0,24.6196,0,0.000138617,0.000138617,0.000138617
30,127.366,0,63.8239,0,0,0,0,0,0,24.6196,0,0.000137189,0.000137189,0.000137189
31,131.43,0,64.4286,0,0,0,0,0,0,24.6195,0,0.00013532,0.00013532,0.00013532
32,135.365,0,63.7013,0,0,0,0,0,0,24.6195,0,0.000133011,0.000133011,0.000133011
33,139.354,0,63.7454,0,0,0,0,0,0,24.618,0,0.000130263,0.000130263,0.000130263
34,143.302,0,63.0197,0,0,0,0,0,0,24.618,0,0.000127074,0.000127074,0.000127074
35,147.307,0,63.1288,0,0,0,0,0,0,24.6013,0,0.000123445,0.000123445,0.000123445
36,151.237,0,62.5993,0,0,0,0,0,0,24.6013,0,0.000119377,0.000119377,0.000119377
37,155.268,0,62.7221,0,0,0,0,0,0,24.5614,0,0.000114869,0.000114869,0.000114869
38,159.2,0,62.3626,0,0,0,0,0,0,24.5614,0,0.00010992,0.00010992,0.00010992
39,163.202,0,62.2225,0,0,0,0,0,0,24.498,0,0.000104532,0.000104532,0.000104532
40,167.171,0,62.0466,0,0,0,0,0,0,24.498,0,9.87035e-05,9.87035e-05,9.87035e-05
41,171.216,0,61.595,0,0,0,0,0,0,24.433,0,9.24352e-05,9.24352e-05,9.24352e-05
42,175.15,0,61.364,0,0,0,0,0,0,24.433,0,8.5727e-05,8.5727e-05,8.5727e-05
43,179.198,0,62.2959,0,0,0,0,0,0,24.3849,0,7.85788e-05,7.85788e-05,7.85788e-05
44,183.215,0,61.0446,0,0,0,0,0,0,24.3849,0,7.09907e-05,7.09907e-05,7.09907e-05
45,187.184,0,61.0948,0,0,0,0,0,0,24.3264,0,6.29626e-05,6.29626e-05,6.29626e-05
46,191.115,0,60.8376,0,0,0,0,0,0,24.3264,0,5.44945e-05,5.44945e-05,5.44945e-05
47,195.163,0,60.8995,0,0,0,0,0,0,24.2741,0,4.55866e-05,4.55866e-05,4.55866e-05
48,199.078,0,60.7495,0,0,0,0,0,0,24.2741,0,3.62386e-05,3.62386e-05,3.62386e-05
49,203.102,0,60.6491,0,0,0,0,0,0,24.2312,0,2.64507e-05,2.64507e-05,2.64507e-05
50,207.099,0,60.6939,0,0,0,0,0,0,24.2312,0,1.62228e-05,1.62228e-05,1.62228e-05
